Airline,Source,Destination,Total_Stops,Additional_Info,Price,Date,Month,Year,Arrival_hour,Arrival_min,Duration_hrs,Dep_Time_hour,Dep_Time_min
IndiGo,Banglore,New Delhi,0,No info,3897.0,24,3,2019,1,1,2,22,20
Air India,Kolkata,Banglore,2,No info,7662.0,1,5,2019,13,13,7,5,50
Jet Airways,Delhi,Cochin,2,No info,13882.0,9,6,2019,4,4,19,9,25
IndiGo,Kolkata,Banglore,1,No info,6218.0,12,5,2019,23,23,5,18,5
IndiGo,Banglore,New Delhi,1,No info,13302.0,1,3,2019,21,21,4,16,50
SpiceJet,Kolkata,Banglore,0,No info,3873.0,24,6,2019,11,11,2,9,0
Jet Airways,Banglore,New Delhi,1,In-flight meal not included,11087.0,12,3,2019,10,10,15,18,55
Jet Airways,Banglore,New Delhi,1,No info,22270.0,1,3,2019,5,5,21,8,0
Jet Airways,Banglore,New Delhi,1,In-flight meal not included,11087.0,12,3,2019,10,10,25,8,55
Multiple carriers,Delhi,Cochin,1,No info,8625.0,27,5,2019,19,19,7,11,25
Air India,Delhi,Cochin,1,No info,8907.0,1,6,2019,23,23,13,9,45
IndiGo,Kolkata,Banglore,0,No info,4174.0,18,4,2019,22,22,2,20,20
Air India,Chennai,Kolkata,0,No info,4667.0,24,6,2019,13,13,2,11,40
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,9663.0,9,5,2019,9,9,12,21,10
IndiGo,Kolkata,Banglore,0,No info,4804.0,24,4,2019,19,19,2,17,15
SpiceJet,Delhi,Cochin,1,No info,5830.0,15,4,2019,13,13,4,8,45
Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262.0,12,6,2019,12,12,22,14,0
Air India,Delhi,Cochin,2,No info,13381.0,12,6,2019,19,19,23,20,15
Jet Airways,Delhi,Cochin,1,In-flight meal not included,12898.0,27,5,2019,12,12,20,16,0
GoAir,Delhi,Cochin,1,No info,19495.0,6,3,2019,19,19,5,14,10
Air India,Banglore,New Delhi,1,No info,6955.0,21,3,2019,13,13,15,22,0
IndiGo,Banglore,Delhi,0,No info,3943.0,3,4,2019,6,6,2,4,0
IndiGo,Banglore,Delhi,0,No info,4823.0,1,5,2019,21,21,2,18,55
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,7757.0,6,5,2019,8,8,13,18,55
Jet Airways,Delhi,Cochin,2,No info,13292.0,9,6,2019,12,12,15,21,25
IndiGo,Delhi,Cochin,1,No info,8238.0,1,6,2019,3,3,5,21,50
GoAir,Delhi,Cochin,1,No info,7682.0,15,5,2019,12,12,5,7,0
Vistara,Banglore,Delhi,0,No info,4668.0,18,6,2019,12,12,2,9,45
Vistara,Chennai,Kolkata,0,No info,3687.0,15,6,2019,9,9,2,7,5
Vistara,Chennai,Kolkata,0,No info,3687.0,18,6,2019,9,9,2,7,5
Air India,Kolkata,Banglore,2,No info,13227.0,1,5,2019,23,23,13,9,50
IndiGo,Banglore,Delhi,0,No info,4423.0,6,4,2019,6,6,2,4,0
Jet Airways,Delhi,Cochin,1,In-flight meal not included,12373.0,18,5,2019,12,12,5,7,5
